scenario,player,Reach R1,Reach R2,Reach R3,Title,opening_draw
Scenario 1 - Seeded,Carlos Alcaraz,1.0,0.835,0.615,0.4033333333333333,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Novak Djokovic,1.0,0.7756666666666666,0.5063333333333333,0.25566666666666665,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Holger Rune,1.0,0.5966666666666667,0.25066666666666665,0.09633333333333334,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Daniil Medvedev,1.0,0.5243333333333333,0.177,0.08533333333333333,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Andrey Rublev,1.0,0.4756666666666667,0.134,0.059,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Stefanos Tsitsipas,1.0,0.4033333333333333,0.144,0.044,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Casper Ruud,1.0,0.22433333333333333,0.099,0.029,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 1 - Seeded,Alexander Zverev,1.0,0.165,0.074,0.027333333333333334,Carlos Alcaraz vs Alexander Zverev | Daniil Medvedev vs Andrey Rublev | Holger Rune vs Stefanos Tsitsipas | Novak Djokovic vs Casper Ruud
Scenario 2 - Randomized,Carlos Alcaraz,1.0,0.8003333333333333,0.642,0.4093333333333333,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Novak Djokovic,1.0,0.758,0.48533333333333334,0.2613333333333333,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Holger Rune,1.0,0.5273333333333333,0.22266666666666668,0.092,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Daniil Medvedev,1.0,0.4726666666666667,0.197,0.07966666666666666,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Andrey Rublev,1.0,0.5966666666666667,0.15766666666666668,0.07066666666666667,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Stefanos Tsitsipas,1.0,0.19966666666666666,0.10466666666666667,0.035333333333333335,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Alexander Zverev,1.0,0.4033333333333333,0.09566666666666666,0.028666666666666667,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 2 - Randomized,Casper Ruud,1.0,0.242,0.095,0.023,Carlos Alcaraz vs Stefanos Tsitsipas | Andrey Rublev vs Alexander Zverev | Novak Djokovic vs Casper Ruud | Daniil Medvedev vs Holger Rune
Scenario 3 - Randomized,Carlos Alcaraz,1.0,0.7706666666666667,0.5863333333333334,0.38866666666666666,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Novak Djokovic,1.0,0.6693333333333333,0.5056666666666667,0.25633333333333336,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Holger Rune,1.0,0.6346666666666667,0.19966666666666666,0.092,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Daniil Medvedev,1.0,0.33066666666666666,0.214,0.08533333333333333,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Andrey Rublev,1.0,0.22933333333333333,0.128,0.058333333333333334,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Stefanos Tsitsipas,1.0,0.5396666666666666,0.16033333333333333,0.050333333333333334,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Alexander Zverev,1.0,0.4603333333333333,0.12,0.035,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 3 - Randomized,Casper Ruud,1.0,0.36533333333333334,0.086,0.034,Carlos Alcaraz vs Andrey Rublev | Casper Ruud vs Holger Rune | Novak Djokovic vs Daniil Medvedev | Stefanos Tsitsipas vs Alexander Zverev
Scenario 4 - Randomized,Carlos Alcaraz,1.0,0.8333333333333334,0.6566666666666666,0.403,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Novak Djokovic,1.0,0.728,0.462,0.233,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Holger Rune,1.0,0.5253333333333333,0.225,0.10033333333333333,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Daniil Medvedev,1.0,0.4746666666666667,0.19366666666666665,0.09033333333333333,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Andrey Rublev,1.0,0.5973333333333334,0.171,0.073,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Stefanos Tsitsipas,1.0,0.272,0.11933333333333333,0.04466666666666667,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Casper Ruud,1.0,0.4026666666666667,0.09366666666666666,0.028,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 4 - Randomized,Alexander Zverev,1.0,0.16666666666666666,0.07866666666666666,0.027666666666666666,Carlos Alcaraz vs Alexander Zverev | Casper Ruud vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Holger Rune vs Daniil Medvedev
Scenario 5 - Randomized,Carlos Alcaraz,1.0,0.8396666666666667,0.62,0.4063333333333333,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Novak Djokovic,1.0,0.7416666666666667,0.49633333333333335,0.24766666666666667,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Daniil Medvedev,1.0,0.632,0.26566666666666666,0.10466666666666667,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Holger Rune,1.0,0.5363333333333333,0.17833333333333334,0.08333333333333333,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Andrey Rublev,1.0,0.46366666666666667,0.13566666666666666,0.05633333333333333,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Stefanos Tsitsipas,1.0,0.25833333333333336,0.12766666666666668,0.044,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Alexander Zverev,1.0,0.368,0.11033333333333334,0.033,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
Scenario 5 - Randomized,Casper Ruud,1.0,0.16033333333333333,0.066,0.024666666666666667,Carlos Alcaraz vs Casper Ruud | Holger Rune vs Andrey Rublev | Novak Djokovic vs Stefanos Tsitsipas | Alexander Zverev vs Daniil Medvedev
